French,English
な,the copula particle used after quasi-adjectives (na)
ない、ん,"informal negative (nai, n) [ん is a slurred version and sounds a little masculine]"
ないよう、内容,content (naiyō)
なおす、直す、治す,"to fix, repair (naosu)"
ながら,"while, though, both (nagara)"
なく、泣く,to cry (naku)
なぐさめる、慰める,"to console, to consolate, to provide empathy (nagusameru)"
なぐる、殴る,"to hit, to strike (naguru)"
なげる、投げる,to throw (nageru)
ナシ、梨,pear (nashi)
なぜなら,"that is because, being because (nazenara)"
など,for example (nado)
なな、しち、七,"seven (nana, shichi)"
ななつ、七つ,"seven, seven things (nanatsu)"
ななめ、斜め,diagonal (naname)
なまり、鉛,lead [Pb] (namari)
ナメクジ、蛞蝓,slug (namekuji)
なら,if [for verbs]; subject marker [for nouns] (nara)
ならびに,as well as (narabini)
なり,whether or not (nari)
なる,to become (naru)
なわ、縄,"rope, string (nawa)"
なんか,"casual undervalue, dislike, lack (nanka)"
なんて,"casual undervalue, dislike, lack (nante)"
に,indirect object marker (ni)
に,"to <somewhere>, by <someone> (ni)"
に、二,two (ni)
にがい、苦い,bitter (nigai)
にく、肉,meat (niku)
にし、西,west (nishi)
にちようび、日曜日,Sunday (nichi-yōbi)
にっき、日記,diary (nikki)
にほんご、日本語 （こくご、国語）,Japanese [language] (nihongo)
にわとり、鶏,chicken (niwatori)
にんげん、人間,human (ningen)
にんじん、人参,carrot (ninjin)
ぬ,"archaic informal negative [""he hath"", ""thou didst"", etc.] (nu)"
ね,"emphasis and question marker, equivalent to ""right?"" (ne)"
ね、根 (ねっこ、根っ子),"root (ne, nekko)"
ねこ、猫,cat (neko)
ねずみ、鼠,"mouse, rat (nezumi)"
ねる、寝る,to sleep (neru)
の,possession (no)
の,"possession marker, of (no)"
ノート,notebook (nōto)
ので,so (node)
のみもの、飲み物,drink/beverage (nomimono)
のむ、飲む,to drink (nomu)
は,"topic marker (wa) [although ha is the hiragana used, wa is the pronunciation)"
は、歯,tooth (ha)
は、葉 (はっぱ、葉っぱ),"leaf (ha, happa)"
はい,yes (hai)
はいいろ、灰色、ねずみいろ、鼠色,"grey (haiiro, nezumiiro)"
ハエ、蝿、蠅,housefly (hae)
ばかり、ばっかり,"just, full of, only (bakari)"
はく、履く,to wear [on the lower body] (haku)
ばけもの、化け物,monster (bakemono)
はさみ、鋏,scissors (hasami)
はじまる、始まる,to begin (hajimaru)
はしる、走る,to run (hashiru)
バスてい、バス停,bus-stop (basutei)
はずれる、外れる,to deviate (hazureru)
パソコン,personal computer (pasokon)
はだ、肌、膚,skin (hada)
はたらく、働く,"to work [e.g., at a job] (hataraku)"
はち、八,eight (hachi)
バッタ、飛蝗,grasshopper (batta)
はな、花,flower (hana)
はな、鼻,nose (hana)
はなす、放す、離す,to let go of (hanasu)
はなす、話す,to speak (hanasu)
バナナ、かんしょう、甘蕉,"banana (banana, kanshō)"
はば、幅,"width, breadth, free room, difference (between two substances) (haba)"
はは、母,"mother (haha)(""okaa-san"")"
はれ、晴れ,clear weather (hare)
パン,bread (pan)
ばん、晩,evening (ban)
ばんごはん、晩御飯,dinner (bangohan)
ひ、にち、日,"day (hi, nichi)"
ひ、火,fire (hi)
ビール,beer (bīru)
ひえる、冷える,"to grow cold, to get chilly, to cool down (hieru)"
ひがし、東,east (higashi)
ひくい、低い,low (hikui)
ひげ、髭、鬚、髯,"moustache, beard (hige)"
ひこうき、飛行機,airplane (hikōki)
ひざ、膝,knee (hiza)
ひじ、肘,elbow (hiji)
ひだり、左,left (hidari)
ひつじ、羊,sheep (hitsuji)
ひつよう、必要,necessity (hitsuyō)
ひと、人,person (hito)
ひとつ、一つ,"one, one thing (hitotsu)"
ひふ、皮膚,skin (hifu)
ひみつ、秘密,secret (himitsu)
ひも、紐,"string, cord (himo)"
ひゃく、百,hundred (hyaku)
びょう、秒,second (byō)
びょうき、病気,illness (byōki)
ひらがな、平仮名,hiragana syllabary characters (hiragana)
ひる、昼,afternoon (hiru)
ひるごはん、昼御飯,lunch (hirugohan)
ピンク,pink (pinku)
ふうとう、封筒,envelope (fūtō)
ふえる、増える,"to increase, to multiply (fueru)"
ふく、服,clothes (fuku)
ふくろ、袋,"pocket, bag (fukuro)"
ぶた、豚,pig (buta)
ふたつ、二つ,"two, two things (futatsu)"
ふで、筆,brush for writing or painting (fude)
ふとい、太い,thick (futoi)
ふとる、太る,to grow fat (futoru)
ふとん、布団,futon (futon)
ふらんすご、フランス語,French [language] (furansugo)
ふるい、古い,old (furui)
ふん、分,minute (fun)
ぶんぼうぐ、文房具,stationery ​(bunbōgu)
へ,"to (e) [Note: へ is normally read he, but when used as this particle its reading changes to e]"
へいし、兵士,soldier (heishi)
へび、蛇,snake (hebi)
へる、減る,to decrease (heru)
ベルト,belt (beruto)
ペン,pen (pen)
べんきょう、勉強,study (benkyō)
べんごし、弁護士,lawyer (bengoshi)
ボールペン,ball-point pen (bōrupen)
ぼく、僕,"I, myself (boku, mainly used by males)"
ほし、星,star (hoshi)
ほそい、細い,thin (hosoi)
ホタル、蛍,firefly (hotaru)
ボタン,button (botan)
ホッチキス,stapler (hotchikisu)
ホテル,hotel (hoteru)
ほね、骨,bone (hone)
ほめる、褒める,to encourage (homeru)
ほん、本,book (hon)
まえ、前,front (mae)
まぐろ、鮪,tuna (maguro)
まご、孫,grandchild (mago)
ます,formal non-past ending (masu)
ます、増す,"to increase, to grow (masu)"
まずい、不味い,tastes awful (mazui)
まだ,"still, yet (mada)"
また、又,"also, again (mata)"
または、又は,or alternatively (matawa)
まつ、松,pine tree (matsu)
まで,to (made)
まで,until (made)
まど、窓,window (mado)
まめ、豆,"beans, peas (mame)"
まん、万,ten thousand (man)
まんねんひつ、万年筆,fountain pen (mannenhitsu)
み、実,fruit (mi)
ミカン、蜜柑,mandarin orange (mikan)
みぎ、右,right (migi)
みず、水,water (mizu)
みず、水,water (mizu)
みせ、店,store (mise)
みそ、味噌,miso (miso)
みだす、乱す,"to disturb, to disarrange (midasu)"
みだれる、乱れる,"to be disturbed, to become confused (midareru)"
みち、道,"street, way, road (michi)"
みっつ、三つ,"three, three things (mittsu)"
みどり、緑,green (midori)
みなみ、南,south (minami)
みみ、耳,ear (mimi)
ミミズ、蚯蚓,earthworm (mimizu)
みらい、未来,future (mirai)
ミリ,milli- (miri)
みる、見る,to see (miru)
むぎ、麦,"wheat, barley, oats (mugi)"
むく、向く,"to face, to turn toward (muku)"
むこう、向こう,"the other side, opposite side (mukō)"
むし、虫,insect (mushi)
むずかしい、難しい,difficult (muzukashii)
むっつ、六つ,"six, six things (muttsu)"
むね、胸,chest (mune)
むらさき、紫,"purple (murasaki, murasakiiro)"
め、目,eye (me)
メートル,meter (mētoru)
めい、姪,niece (mei)
めがね、眼鏡,glasses (megane)
も,"also, too (mo)"
も,"too, also (mo)"
もう,already (mō)
もくようび、木曜日,Thursday (moku-yōbi)
もじ、文字,"letter, character, script (moji)"
もつ、持つ,to hold (motsu)
モモ、桃,peach (momo)
もも、腿,thigh (momo)
や,and (ya)
やくしょ、役所,local government office (yakusho)
やさい、野菜,vegetable (yasai)
やさしい、易しい,"easy, simple (yasashii)"
やすい、安い,cheap (yasui)
やすむ、休む,"to rest, to take a break, to go to bed (yasumu)"
やっつ、八つ,"eight, eight things (yattsu)"
やる,to do (yaru)
やわらかい、柔らかい,soft (yawarakai)
ゆ、湯,hot water (yu)
ゆうがた、夕方,evening (yūgata)
ゆき、雪,snow (yuki)
ゆげ、湯気,steam (yuge)
ゆび、指,"finger, toe (yubi)"
ようび、曜日,~day (yōbi)
ようふく、洋服,western clothing (yōfuku)
よっつ、四つ,"four, four things (yottsu)"
よむ、読む,to read (yomu)
より,than (yori)
よる、夜,"evening, night (yoru)"
よろこび、喜び,"joy, delight, rapture (yorokobi)"
よろこぶ、喜ぶ,"to celebrate, to be jubilant, to have joy, to have delight, to have rapture (yorokobu)"
よん、し、四,"four (yon, shi)"
りか、理科,science (rika)
リットル,litre (rittoru)
りゅう、たつ、竜,"dragon (ryū, tatsu)"
りょうしん、両親,parents (ryoushin)
りょうり、料理,cooking (ryōri)
リンゴ、林檎,apple (ringo)
れい、ゼロ、零,"zero (rei, zero)"
れきし、歴史,history (rekishi)
れる、られる,"passive verb ending [れる for u-verbs, られる for ru-verbs]: to be <verbed> [e.g., 食べられる, ""to be eaten""] (reru, rareru)"
ローマ字,"Roman characters, Latin script (rōmaji)"
ろく、六,six (roku)
ワイン,wine (wain)
わかい、若い,young (wakai)
わかもの、若者,"youth, young person (wakamono)"
わかれる、分かれる,"to split intoin, to be divided (wakareru)"
わかれる、別れる,"to partin, to separatein, to break upin (wakareru)"
わし、鷲,eagle (washi)
わたくし、私,"I, myself (watakushi [most formal])"
わたし、私,"I, myself (watashi)"
わふく、和服,Japanese clothing (wafuku)
わらう、笑う,to laugh (warau)
わるい、悪い,"bad, inferior (warui)"
を,direct object marker (o)
